Notering;Titel;Artiest;Jaar
83;Worn down piano;Mark & Clark Band;1977
84;Like a hurricane;Neil Young;1977
85;Telegraph Road;Dire Straits;1982
86;Another Brick in the Wall (part two);Pink Floyd;1979
87;Geef mij je angst;Guus Meeuwis;2004
88;Ne me quitte pas;Jacques Brel;1965
89;Eagle;ABBA;1978
90;Nobody's wife;Anouk;1997
91;Time to say goodbye;Andrea Bocelli & Sarah Brightman;1997
92;Holiday in Spain;BLØF & Counting Crows;2004
93;Desperado;Eagles;1973
94;The winner takes it all;ABBA;1980
95;Forever young;Alphaville;1984
96;Welterusten, meneer de president;Boudewijn de Groot;1966
97;Morning has broken;Cat Stevens;1972
98;Summer of '69;Bryan Adams;1990
99;Everybody hurts;R.E.M.;1993
100;Like a Rolling Stone;Bob Dylan;1965
101;If you were a sailboat;Katie Melua;2007
102;Go your own way;Fleetwood Mac;1977
103;Limburg (kwestie van geduld);Rowwen Hèze;1996
104;Aan de kust;BLØF;1998
105;Paranoid;Black Sabbath;1970
106;The end;The Doors;1967
107;Paint it black;The Rolling Stones;1966
108;Niet of nooit geweest;Acda en De Munnik;1998
109;Where the Streets Have No Name;U2;1987
110;Africa;Toto;1982
111;Wuthering heights;Kate Bush;1978
112;Mr. Blue Sky;Electric Light Orchestra;1978
113;A horse with no name;America;1972
114;Streets of Philadelphia;Bruce Springsteen;1994
115;Fragile;Sting;1988
116;Smoke on the water;Deep Purple;1973
117;Innuendo;Queen;1991
118;She;Charles Aznavour;1974
119;Oerend hard;Normaal;1977
120;Who wants to live forever;Queen;1986
121;Perfect day;Lou Reed;1972
122;Blackbird;The Beatles;1968
123;Laat me / Vivre;Alderliefste & Ramses Shaffy & Liesbeth List;2005
124;Zelfs je naam is mooi;Henk Westbroek;1998
125;Geef mij je angst;André Hazes;1984
126;Als ze er niet is;De Dijk;1994
127;Feel;Robbie Williams;2002
128;Harder dan ik hebben kan;BLØF;1999
129;The unforgettable fire;U2;1985
130;Heroes;David Bowie;1977
131;Als de morgen is gekomen;Jan Smit;2006
132;Losing my religion;R.E.M.;1991
133;Dream on;Aerosmith;1973
134;The lady in red;Chris de Burgh;1986
135;Con te partirò;Andrea Bocelli;1996
136;Ik heb je lief;Paul de Leeuw;1997
137;Thank you for the music;ABBA;1978
138;De neus omhoeg;Rowwen Hèze;1995
139;Fool's Overture;Supertramp;1977
140;Bright eyes;Art Garfunkel;1979
141;Eye in the sky;The Alan Parsons Project;1982
142;Ruthless queen;Kayak;1979
143;In the air tonight;Phil Collins;1981
144;Sweet child o' mine;Guns N' Roses;1988
145;Halt mich;Herbert Grönemeyer;1988
146;Vous permettez, monsieur?;Adamo;1964
147;All along the watchtower;Jimi Hendrix Experience;1968
148;Purple rain;Prince & The Revolution;1984
149;Born to run;Bruce Springsteen;1975
150;Somebody to love;Queen;1976
151;Sebastian;Steve Harley & Cockney Rebel;1973
152;Geen kind meer;Karin Bloemen;1996
153;The sound of silence;Simon & Garfunkel;1966
154;Kayleigh;Marillion;1985
155;Don't stop me now;Queen;1979
156;Woman in love;Barbra Streisand;1980
157;Mag het licht uit;De Dijk;1987
158;Non, je ne regrette rien;Edith Piaf;1961
159;Belfast child;Simple Minds;1989
160;Margherita;Marco Borsato;1996
161;Here comes the sun;The Beatles;1969
162;Kronenburg park (Ga die wereld uit);Frank Boeijen Groep;1985
163;Girl;Anouk;2004
164;(I can't get no) satisfaction;The Rolling Stones;1965
165;When the lady smiles;Golden Earring;1984
166;Bitter sweet symphony;The Verve;1997
167;While my guitar gently weeps;The Beatles;1968
168;Blowin' in the wind;Bob Dylan;1963
169;Afscheid nemen bestaat niet;Marco Borsato;2003
170;How you gonna see me now;Alice Cooper;1979
171;Pride (in the name of love);U2;1984
172;I want to break free;Queen;1984
173;Du;Peter Maffay;1971
174;Liefde van later;Herman van Veen;1969
175;Als het vuur gedoofd is;Acda en De Munnik;1997
176;Creep;Radiohead;1993
177;The Family Tree;Venice;1999
178;I don’t want to miss a thing;Aerosmith;1998
179;Take on me;a-ha;1985
180;Sloop John B;The Beach Boys;1966
181;Barcelona;Freddie Mercury & Montserrat Caballé;1987
182;Go like Elijah;Chi Coltrane;1973
183;Strawberry fields forever;The Beatles;1967
184;Lopen tot de zon komt;Acda en De Munnik;1997
185;Still got the blues;Gary Moore;1990
186;In the ghetto;Elvis Presley;1969
187;Street spirit (fade out);Radiohead;1995
188;Relax, Take It Easy;Mika;2007
189;The Fool on the Hill;The Beatles;1967
190;Dansen aan zee;BLØF;2000
191;Wonderful tonight;Eric Clapton;1988
192;Enjoy the silence;Depeche Mode;1990
193;Brown eyed girl;Van Morrison;1967
194;Mooie dag;BLØF;2002
195;Wonderwall;Oasis;1995
196;Michel;Anouk;2000
197;Memory;Barbra Streisand;1982
198;I have a dream;ABBA;1979
199;Teach your children;Crosby, Stills, Nash & Young;1970
200;Me and Bobby McGee;Janis Joplin;1971
201;All I need;Air;1999
202;The turn of a friendly card;The Alan Parsons Project;1980
203;Have You Ever Seen the Rain?;Creedence Clearwater Revival;1971
204;One way wind;The Cats;1971
205;Zeg me dat het niet zo is;Frank Boeijen Groep;1990
206;Tom Traubert's blues (Four sheets to the wind in Copenhagen);Tom Waits;1976
207;Jeanny;Falco;1985
208;Kristallnaach;BAP;1983
209;School's out;Alice Cooper;1972
210;Saturday night;Herman Brood & His Wild Romance;1978
211;Whole lotta love;Led Zeppelin;1969
212;What's going on;Marvin Gaye;1971
213;Bestel mar;Rowwen Hèze;1992
214;The Wall Street Shuffle;10cc;1974
215;New Year's Day;U2;1983
216;What's Up?;4 Non Blondes;1993
217;The Closest Thing to Crazy;Katie Melua;2004
218;Light my fire;The Doors;1967
219;More than a feeling;Boston;1977
220;Hey Joe;Jimi Hendrix Experience;1967
221;Sgt. Pepper's Lonely Hearts Club Band;The Beatles;1967
222;If You Leave Me Now;Chicago;1976
223;Proud Mary;Ike & Tina Turner;1971
224;Gimme shelter;The Rolling Stones;1969
225;Happy New Year;ABBA;1980
226;Tombe la neige;Adamo;1964
227;Bad moon rising;Creedence Clearwater Revival;1969
228;Heart of gold;Neil Young;1972
229;(Everything I do) I do it for you;Bryan Adams;1991
230;Massachusetts;Bee Gees;1967
231;Ren Lenny ren;Acda en De Munnik;2002
232;Mama;Genesis;1983
233;You're the first, the last, my everything;Barry White;1974
234;Ironic;Alanis Morissette;1995
235;Hald mich 's vas;Neet oét Lottum;2005
236;Dancing in the dark;Bruce Springsteen;1984
237;Knockin' on heaven's door;Bob Dylan;1973
238;Don't give up;Kate Bush & Peter Gabriel;1986
239;I want you;Elvis Costello;1986
240;Twilight zone;Golden Earring;1982
241;MacArthur Park;Richard Harris;1968
242;Gimme all your lovin';ZZ Top;1984
243;Der Weg;Herbert Grönemeyer;2002
244;Walk of life;Dire Straits;1985
245;Zombie;The Cranberries;1994
246;Who'll Stop the Rain;Creedence Clearwater Revival;1970
247;Father and Son;Cat Stevens;1971
248;Somewhere only we know;Keane;2004
249;I would stay;Krezip;2000
250;Thunder Road;Bruce Springsteen;1975
251;Aanzoek zonder ringen;BLØF;2006
252;The Long and Winding Road;The Beatles;1970
253;Daar gaat ze;Clouseau;1990
254;Dust in the wind;Kansas;1978
255;Chiquitita;ABBA;1979
256;The man with the child in his eyes;Kate Bush;1978
257;Samba pa ti;Santana;1973
258;Born in the USA;Bruce Springsteen;1985
259;Think;Aretha Franklin;1968
260;Jimmy;Boudewijn de Groot;1973
261;Norwegian wood;The Beatles;1965
262;Beautiful day;U2;2000
263;Always on my mind;Elvis Presley;1972
264;Laat me;Ramses Shaffy;1978
265;White Rabbit;Jefferson Airplane;1970
266;Fields of gold;Sting;1993
267;Zing, vecht, huil, bid, lach, werk en bewonder;Ramses Shaffy;1971
268;Troy;Sinéad O'Connor;1987
269;Het Land van Maas en Waal;Boudewijn de Groot;1967
270;California dreamin';The Mamas and the Papas;1966
271;Knockin' on heaven's door;Guns N' Roses;1992
272;Vluchten kan niet meer;Frans Halsema & Jenny Arean;1977
273;Baba O'Riley;The Who;1971
274;Layla;Eric Clapton;1992
275;In nije dei;De Kast;1997
276;She;Elvis Costello;1999
277;Almost cut my hair;Crosby, Stills, Nash & Young;1971
278;Space oddity;David Bowie;1969
279;Michelle;The Beatles;1966
280;Rain and tears;Aphrodite's Child;1968
281;My hometown;Bruce Springsteen;1986
282;Onderweg;Abel;2000
283;Against the Wind;Bob Seger & The Silver Bullet Band;1980
284;Omarm;BLØF;2003
285;Vincent;Don McLean;1972
286;Graceland;Paul Simon;1987
287;Another 45 miles;Golden Earring;1969
288;You can't always get what you want;The Rolling Stones;1969
289;Suzanne;Herman van Veen;1969
290;Aquarius/Let the sunshine in;The 5th Dimension;1969
291;Zij gelooft in mij;André Hazes;1981
292;Eleanor Rigby;The Beatles;1966
293;Zonder jou;Paul de Leeuw & Simone Kleinsma;1995
294;Somebody Will Know Someday;Cuby + Blizzards;1967
295;Words;Bee Gees;1968
296;Bloedend hart;De Dijk;1982
297;(Sittin' on) the dock of the bay;Otis Redding;1968
298;The show must go on;Queen;1991
299;Op fietse;Skik;1997
300;Our house;Crosby, Stills, Nash & Young;1970
301;Fields of gold;Eva Cassidy;1998
302;She's always a woman;Billy Joel;1978
303;Money for nothing;Dire Straits;1985
304;Jessica;The Allman Brothers Band;1976
305;Love you more;Racoon;2005
306;It's my life;Bon Jovi;2000
307;The boxer;Simon & Garfunkel;1969
308;Always;Bon Jovi;1994
309;Anne;Herman van Veen;1986
310;I Still Cry;Ilse DeLange;2000
311;Question;Moody Blues;1970
312;Get Back;The Beatles;1969
313;Respect;Aretha Franklin;1967
314;Zij maakt het verschil;De Poema's;2001
315;L.A. woman;The Doors;1971
316;Total Eclipse of the Heart;Bonnie Tyler;1983
317;Mon amour;BZN;1976
318;Speeltuin;Marco Borsato;1998
319;Suzie Q;Creedence Clearwater Revival;1968
320;Romeo and Juliet;Dire Straits;1980
321;Albatross;Fleetwood Mac;1969
322;Rehab;Amy Winehouse;2007
323;Sailing;Rod Stewart;1975
324;Everytime I think of you;The Babys;1979
325;My immortal;Evanescence;2003
326;My Heart Will Go On;Céline Dion;1998
327;Suzanne;Leonard Cohen;1968
328;Roll over lay down;Status Quo;1975
329;Home;Michael Bublé;2004
330;Musica è;Eros Ramazzotti;1989
331;Mijn vlakke land;Jacques Brel;1965
332;Englishman in New York;Sting;1988
333;Summertime;Brainbox;1969
334;Speed of sound;Coldplay;2005
335;With a little help from my friends;Joe Cocker;1968
336;Fantastig toch;Eva De Roovere;2007
337;Bat out of hell;Meat Loaf;1977
338;Mooi liedje;Acda en De Munnik;1997
339;On the border;Al Stewart;1977
340;Foto van vroeger;Rob de Nijs;1980
341;Roxanne;The Police;1979
342;Donna;10cc;1973
343;Nothing compares 2 U;Sinéad O'Connor;1990
344;The Wind Cries Mary;Jimi Hendrix Experience;1967
345;All I want is you;U2;1989
346;Binnen;Marco Borsato;1999
347;Money;Pink Floyd;1973
348;Fernando;ABBA;1976
349;Old man;Neil Young;1972
350;Dansen op de vulkaan;De Dijk;1987
351;You know I'm no good;Amy Winehouse;2007
352;You ain't seen nothin' yet;Bachman-Turner Overdrive;1974
353;Blijf tot de zon je komt halen;Paul de Leeuw;2007
354;How Deep Is Your Love;Bee Gees;1977
355;Fantasy;Earth, Wind & Fire;1978
356;Don't you (forget about me);Simple Minds;1985
357;The great escape;Ilse DeLange;2007
358;Papa, can you hear me?;Barbra Streisand;1983
359;Nikita;Elton John;1985
360;I say a little prayer;Aretha Franklin;1968
361;Lola;The Kinks;1970
362;De kapitein deel II;Acda en De Munnik;2000
363;My way;Frank Sinatra;1969
364;Grace Kelly;Mika;2007
365;Bad;U2;1984
366;Conquest of paradise;Vangelis;1995
367;Papa Was a Rollin' Stone;The Temptations;1972
368;I'm Going Home;Ten Years After;1971
369;Solsbury Hill;Peter Gabriel;1977
370;Billie Jean;Michael Jackson;1983
371;Sara;Fleetwood Mac;1980
372;In-a-gadda-da-vida;Iron Butterfly;1970
373;Blueberry Hill;Fats Domino;1957
374;Owner of a lonely heart;Yes;1983
375;You're beautiful;James Blunt;2005
376;Candle in the wind '97;Elton John;1997
377;Moondance;Van Morrison;1970
378;Leningrad;Billy Joel;1989
379;All you need is love;The Beatles;1967
380;Hemingway;BLØF;2006
381;Down Man;Brainbox;1969
382;Ben ik te min;Armand;1967
383;Eternal Flame;The Bangles;1989
384;Waarom fluister ik je naam nog;Benny Neyman;1985
385;To make my life beautiful;Alex Harvey;1972
386;Ring of fire;Johnny Cash;1963
387;Vienna;Ultravox;1981
388;De verzoening;Frank Boeijen Groep;1987
389;Easy Livin';Uriah Heep;1973
390;Roof garden;Al Jarreau;1982
391;Mr. Jones;Counting Crows;1994
392;Mijn gebed;D.C. Lewis;1970
393;I Am... I Said;Neil Diamond;1971
394;Tranen gelachen;Guus Meeuwis;2007
395;Against all odds (take a look at me now);Phil Collins;1984
396;The whole of the moon;The Waterboys;1986
397;One of these nights;Eagles;1975
398;Beautiful Noise;Neil Diamond;1976
399;What a Wonderful World;Louis Armstrong;1968
400;Need Your Love So Bad;Fleetwood Mac;1968
401;Don't Answer Me;The Alan Parsons Project;1984
402;Why;Annie Lennox;1992
403;Dromen zijn bedrog;Marco Borsato;1994
404;I'm not so tough;Ilse DeLange;1998
405;Locomotive Breath;Jethro Tull;1972
406;Denis;Blondie;1978
407;Leaving on a Jet Plane;John Denver;1969
408;Lyin' Eyes;Eagles;1975
409;Het is een nacht... (Levensecht);Guus Meeuwis & Vagant;1995
410;You Are So Beautiful;Joe Cocker;1975
411;Band on the run;Paul McCartney & Wings;1974
412;Every breath you take;The Police;1983
413;Ik kan het niet alleen;De Dijk;1989
414;Vrienden voor het leven;Jan Smit;2005
415;Luna;Alessandro Safina;2000
416;Lea;The Cats;1968
417;Kleine jongen;André Hazes;1990
418;These are the days of our lives;Queen;1991
419;Waterloo;ABBA;1974
420;The Times They Are a-Changin';Bob Dylan;1965
421;Wind of change;Scorpions;1991
422;The logical song;Supertramp;1979
423;Dreamer;Supertramp;1974
424;Everything;Michael Bublé;2007
425;Appleknockers Flophouse;Cuby + Blizzards;1969
426;I Just Can't Help Believin';Elvis Presley;1972
427;Blauwe ruis;BLØF;2002
428;Sweet home Alabama;Lynyrd Skynyrd;1974
429;Penny Lane;The Beatles;1967
430;Golden Brown;The Stranglers;1982
431;Mijn houten hart;De Poema's;1999
432;Lost;Michael Bublé;2007
433;Vivo per lei;Andrea Bocelli & Giorgia;1996
434;New Kid in Town;Eagles;1977
435;Unchained Melody;The Righteous Brothers;1965
436;Just a little bit of peace in my heart;Golden Earring;1968
437;Last Christmas;Wham!;1984
438;I'm on fire;Bruce Springsteen;1985
439;Mr. Tambourine Man;The Byrds;1965
440;Sacrifice;Anouk;1998
441;Take Me Home, Country Roads;John Denver;1971
442;The way we were;Barbra Streisand;1973
443;Love Hurts;Nazareth;1974
444;You'll Be in My Heart;Phil Collins;1999
445;Sometimes You Can't Make It on Your Own;U2;2004
446;I'd Do Anything for Love (But I Won't Do That);Meat Loaf;1993
447;The Best;Tina Turner;1989
448;Can't stop loving you;Phil Collins;2002
449;Radio Ga Ga;Queen;1984
450;32 jaar (Sinds 1 dag of 2);Doe Maar;1981
451;Something;The Beatles;1969
452;The final countdown;Europe;1986
453;Goodbye My Lover;James Blunt;2005
454;You've got a friend;Carole King;1971
455;My boy;Elvis Presley;1975
456;Flappie;Youp van 't Hek;1981
457;Peggy Sue;Buddy Holly;1957
458;Tonight;David Bowie & Tina Turner;1988
459;Like the Way I Do;Melissa Etheridge;1989
460;Your song;Elton John;1971
461;I want to know what love is;Foreigner;1984
462;Als het golft;De Dijk;2000
463;I Will Follow;U2;1982
464;Guilty;Barbra Streisand & Barry Gibb;1980
465;Kiss from a Rose;Seal;1994
466;Everybody Needs Somebody to Love;The Blues Brothers;1989
467;I Heard It Through the Grapevine;Creedence Clearwater Revival;1973
468;So long Marianne;Leonard Cohen;1968
469;Don't Forget to Remember;Bee Gees;1969
470;She's Leaving Home;The Beatles;1967
471;Wind beneath My Wings;Bette Midler;1980
472;Ik leef niet meer voor jou;Marco Borsato;1996
473;She's not there;Santana;1978
474;Mandy;Barry Manilow;1974
475;Help!;The Beatles;1965
476;I want you;Bob Dylan;1966
477;Tell Him;Céline Dion & Barbra Streisand;1997
478;Livin' on a prayer;Bon Jovi;1986
479;I was made for lovin' you;Kiss;1979
480;Een meisje van 16;Boudewijn de Groot;1965
481;Mamma mia;ABBA;1975
482;Nathalie;Gilbert Bécaud;1964
483;I will always love you;Whitney Houston;1992
484;Tequila Sunrise;Eagles;1973
485;Flink zijn;Robert Long;1977
486;Vertigo;U2;2004
487;Follow You Follow Me;Genesis;1978
488;Prikkebeen;Boudewijn de Groot en Elly Nieman;1968
489;River Deep - Mountain High;Ike & Tina Turner;1966
490;She's a Rainbow;The Rolling Stones;1967
491;Rockin' in the free world;Neil Young;1989
492;Durgerdam slaapt;Zijlstra;2002
493;You;Ten Sharp;1991
494;I Started a Joke;Bee Gees;1969
495;Binnen zonder kloppen;De Dijk;1985
496;Just an illusion;BZN;1983
497;The thrill is gone;B.B. King;1969
498;Mensch;Herbert Grönemeyer;2004
499;White Room;Cream;1968
500;Jump;Van Halen;1984
501;Inch Allah;Adamo;1967
502;Rivers of Babylon;Boney M.;1978
503;Stayin' alive;Bee Gees;1978
504;Listen to the Music;The Doobie Brothers;1972
505;Spicks and Specks;Bee Gees;1967
506;Thriller;Michael Jackson;1983
507;Apache;The Shadows;1960
508;Eve of destruction;Barry McGuire;1965
509;Dancin' Fool;Frank Zappa;1979
510;Dodenrit;Drs. P;1974
511;99 Luftballons;Nena;1983
512;Killer Queen;Queen;1974
513;Won't Get Fooled Again;The Who;1971
514;Is She Really Going Out with Him?;Joe Jackson;1979
515;Sailing to Philadelphia;Mark Knopfler & James Taylor;2000
516;We will rock you;Queen;1977
517;Top of the World;The Carpenters;1973
518;Still loving you;Scorpions;1987
519;A Long December;Counting Crows;1996
520;Wat zou je doen;BLØF;1998
521;In a Lifetime;Clannad & Bono;1986
522;Take it easy;Eagles;1972
523;Senza una donna;Zucchero Fornaciari;1988
524;Under pressure;David Bowie & Queen;1981
525;De waarheid;Marco Borsato;1996
526;Banger hart;Rob de Nijs;1996
527;Venus;Shocking Blue;1969
528;Droomland;Paul de Leeuw & André Hazes;1993
529;La comparsa;ZZ & De Maskers;1964
530;Are You Lonesome Tonight;Elvis Presley;1960
531;Het werd zomer;Rob de Nijs;1977
532;Alive;Meat Loaf;2006
533;Private dancer;Tina Turner;1984
534;Heb je even voor mij;Frans Bauer;2004
535;Orinoco Flow (Sail Away);Enya;1988
536;Tubular Bells;Mike Oldfield;1974
537;Tinseltown in the rain;The Blue Nile;1984
538;One of us;ABBA;1981
539;In my life;The Beatles;1965
540;Why tell me why;Anita Meyer;1981
541;I Am the Walrus;The Beatles;1967
542;De wedstrijd;Bram Vermeulen;1991
543;Tunnel of Love;Dire Straits;1980
544;Son of a Preacher Man;Dusty Springfield;1968
545;Yesterday When I Was Young;Charles Aznavour;1970
546;Josephine;Chris Rea;1985
547;Four Seasons in One Day;Crowded House;1992
548;I Love You Because;Jim Reeves;1964
549;Moon over Bourbon Street;Sting;1985
550;Swim with Sam;a balladeer;2002
551;Bring It on Home to Me;The Animals;1965
552;Driving Home for Christmas;Chris Rea;1986
553;American pie;Don McLean;1972
554;Waarom nou jij;Marco Borsato;1994
555;Everybody's Changing;Keane;2004
556;Have a Little Faith in Me;John Hiatt;1989
557;Oh well (part 1);Fleetwood Mac;1969
558;Sylvia's Mother;Dr. Hook;1972
559;Hocus pocus;Focus;1971
560;World of hurt;Ilse DeLange;1998
561;Whatever you want;Status Quo;1979
562;The Boys of Summer;Don Henley;1985
563;Down down;Status Quo;1975
564;N'oubliez jamais;Joe Cocker;1997
565;Marian;The Cats;1969
566;Overture;The Who;1969
567;Another day in paradise;Phil Collins;1989
568;You're so vain;Carly Simon;1973
569;See Me, Feel Me;The Who;1970
570;Nothing Rhymed;Gilbert O'Sullivan;1971
571;Wild horses;The Rolling Stones;1971
572;Mull of Kintyre;Paul McCartney & Wings;1977
573;Kalverliefde;Robert Long;1974
574;Il volo;Zucchero Fornaciari;1996
575;Brown Sugar;The Rolling Stones;1971
576;San Francisco (Be Sure to Wear Flowers in Your Hair);Scott McKenzie;1967
577;Give a little bit;Supertramp;1977
578;(You Make Me Feel Like) A Natural Woman;Aretha Franklin;1967
579;Wereld zonder jou;Marco Borsato & Trijntje Oosterhuis;1997
580;Careless Whisper;George Michael;1984
581;Zeven Dagen Lang;Bots;1976
582;Annie's Song;John Denver;1976
583;Only Time;Enya;2000
584;Terug naar de kust;Maggie MacNeal;1976
585;Just Like a Woman;Bob Dylan;1966
586;Proud Mary;Creedence Clearwater Revival;1969
587;Give up your guns;The Buoys;1972
588;You needed me;Anne Murray;1978
589;London calling;The Clash;1979
590;I close my eyes (and count to ten);Dusty Springfield;1968
591;Alive;Pearl Jam;1992
592;Close to the edge;Yes;1972
593;Layla;Derek and the Dominos;1971
594;Jailhouse rock;Elvis Presley;1957
595;Stop loving you;Toto;1988
596;For No One;The Beatles;1966
597;Dance Tonight;Paul McCartney;2007
598;Down Under;Men at Work;1982
599;Heaven Must Be Missing an Angel;Tavares;1976
600;Ik Ga Naar Frankrijk;The Amazing Stroopwafels;1984
601;Spanish eyes;Al Martino;1966
602;That ole devil called love;Alison Moyet;1985
603;Als de rook om je hoofd is verdwenen;Boudewijn de Groot;1972
604;Take Five;Dave Brubeck Quartet;1962
605;Hunting high and low;a-ha;1986
606;Weather with You;Crowded House;1992
607;Time Is Tight;Booker T. & the M.G.'s;1969
608;Lay Lady Lay;Bob Dylan;1969
609;Jerusalem;Anouk;2005
610;Dolce Paola;Adamo;1965
611;Stir it up;Bob Marley & The Wailers;1979
612;Een beetje verliefd;André Hazes;1981
613;Heaven;Bryan Adams;1985
614;Message to my girl;Split Enz;1984
615;The second waltz;André Rieu;1994
616;7 Seconds;Youssou N'Dour & Neneh Cherry;1994
617;Guitar man;Bread;1972
618;The Free Electric Band;Albert Hammond;1973
619;Jesus to a Child;George Michael;1996
620;The air that I breathe;The Hollies;1974
621;So Long;Fischer-Z;1980
622;Stand by me;Ben E. King;1987
623;Iris;Goo Goo Dolls;1999
624;He Ain't Heavy, He's My Brother;The Hollies;1969
625;Zuid-Afrika;Karin Bloemen;1991
626;You've got a friend;James Taylor;1971
627;My generation;The Who;1965
628;Ik heb je lief;Stef Bos;1992
629;Hold the line;Toto;1979
630;Chan Chan;Buena Vista Social Club;1997
631;Unchain My Heart;Joe Cocker;1987
632;It's All Over Now;The Rolling Stones;1964
633;Holding back the years;Simply Red;1985
634;White Flag;Dido;2003
635;Through the barricades;Spandau Ballet;1986
636;Purple Haze;Jimi Hendrix Experience;1967
637;Fast car;Tracy Chapman;1988
638;Celluloid Heroes;The Kinks;1973
639;Scarlet ribbons;The Cats;1969
640;Calypso;John Denver;1975
641;Harvest;Neil Young;1972
642;Brandend zand;Anneke Grönloh;1962
643;Peter Gunn Theme;Emerson, Lake & Palmer;1980
644;Gloria;Them;1967
645;Non, non, rien n'a changé;Les Poppys;1971
646;Once upon a time in the west;Ennio Morricone;1968
647;The great gig in the sky;Pink Floyd;1973
648;Beautiful people;Melanie;1969
649;Can't Help Falling in Love with You;Elvis Presley;1961
650;Overcome;Live;2001
651;Une belle histoire;Michel Fugain;1972
652;Whiskey in the Jar;Thin Lizzy;1973
653;Alles geprobeerd;Het Goede Doel;1986
654;Message in a bottle;The Police;1979
655;We Are the Champions;Queen;1977
656;Little Green Bag;George Baker Selection;1969
657;She Flies on Strange Wings;Golden Earring;1971
658;Nightporter;Japan;1980
659;De bestemming;Marco Borsato;1998
660;Moonlight Shadow;Mike Oldfield & Maggie Reilly;1983
661;Ain't Got No, I Got Life;Nina Simone;1968
662;The head and the heart;Chris de Burgh;1984
663;Knowing me, knowing you;ABBA;1977
664;Songbird;Eva Cassidy;1998
665;Into Temptation;Crowded House;1989
666;Expecting to fly;Buffalo Springfield;1971
667;Piece by piece;Katie Melua;2005
668;I don't wanna die in an air disaster;Albert Hammond;1974
669;When I'm Sixty-Four;The Beatles;1967
670;Complainte pour sainte Catherine;Anna & Kate McGarrigle;1976
671;Spider's Web;Katie Melua;2005
672;Veronica;Cornelis Vreeswijk;1972
673;Kingston Town;UB40;1990
674;Foolish Games;Jewel;1997
675;Jesus He Knows Me;Genesis;1992
676;A boy named Sue;Johnny Cash;1969
